"","Real Monthly Commodity Trade Weighted Exchange Rate Indexes","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53","...54","...55","...56","...57","...58","...59","...60","...61","...62","...63","...64","...65","...66","...67","...68","...69","...70","...71","...72","...73","...74","...75","...76","...77","...78"
"189","10","1984","123.71247100830078","114.33761596679688","103.60437774658203","122.00463104248047","114.07798767089844","92.079666137695312","92.423507690429688","121.98550415039062","94.663040161132812","116.5389404296875","131.1888427734375","102.69921875","113.48052978515625","106.67483520507812","97.57000732421875","123.47921752929688","134.10874938964844","108.29637145996094","120.24089813232422","120.49826049804688","119.61019897460938","123.99024200439453","124.52733612060547","132.24755859375","128.01115417480469","126.01922607421875","120.422607421875",NA,"128.21636962890625","134.23353576660156","132.09410095214844","128.99842834472656","128.18205261230469","129.48747253417969","122.56177520751953","124.68640899658203","141.32937622070312","139.01719665527344","123.35456085205078","138.5701904296875","141.52580261230469","144.5155029296875","141.84349060058594","137.61293029785156","147.92951965332031","136.63119506835938","140.78959655761719","143.59434509277344","140.02459716796875","139.91024780273438","151.18472290039062","144.74870300292969","142.99717712402344",NA,"128.47169494628906","101.34272766113281","85.172607421875","73.234809875488281","347.48480224609375","88.270858764648438","113.806396484375","102.33635711669922","120.89653015136719","99.612281799316406","111.9056396484375","138.02330017089844","140.36158752441406","190.80879211425781","136.55307006835938","120.73310852050781","120.58030700683594","89.276908874511719","135.74021911621094","156.84884643554688","112.86412811279297","139.34727478027344"
"190","11","1984","122.39321136474609","114.29405212402344","104.48183441162109","121.42156982421875","115.78971099853516","91.489128112792969","94.36834716796875","120.61044311523438","95.141838073730469","115.95561981201172","130.39572143554688","101.95092010498047","113.71251678466797","107.59358215332031","99.367454528808594","122.70601654052734","132.3770751953125","108.14203643798828","119.39511108398438","119.87882232666016","118.890869140625","123.07744598388672","123.57809448242188","131.57453918457031","127.92529296875","124.65186309814453","120.01032257080078",NA,"126.97742462158203","129.30184936523438","126.03118896484375","118.90222930908203","124.28169250488281","126.12606048583984","116.44499206542969","118.4608154296875","134.83038330078125","133.94271850585938","113.07030487060547","133.79934692382812","136.59394836425781","139.86428833007812","137.46577453613281","134.90228271484375","142.98832702636719","132.51361083984375","135.2802734375","140.18719482421875","135.97427368164062","133.29287719726562","147.12347412109375","139.97541809082031","137.10888671875",NA,"127.40212249755859","101.35182189941406","84.857864379882812","75.974266052246094","345.3724365234375","85.637489318847656","111.77883148193359","100.41878509521484","119.50677490234375","98.508140563964844","110.92168426513672","135.62736511230469","134.19764709472656","190.00187683105469","135.57627868652344","119.31715393066406","119.2423095703125","86.848625183105469","136.73550415039062","160.73988342285156","113.07411956787109","136.43077087402344"
"191","12","1984","124.64336395263672","115.74565887451172","106.20693969726562","121.89952087402344","118.51762390136719","92.156112670898438","97.083747863769531","122.23328399658203","95.776466369628906","117.38107299804688","130.02987670898438","103.15724945068359","115.2056884765625","108.86890411376953","101.80877685546875","123.57536315917969","134.81680297851562","108.42945098876953","120.19411468505859","120.76404571533203","119.56267547607422","124.08650970458984","123.74837493896484","132.43365478515625","128.32542419433594","126.53240203857422","122.29827880859375",NA,"130.38970947265625","135.89492797851562","133.96055603027344","130.55874633789062","130.20021057128906","132.43672180175781","124.89655303955078","126.552490234375","142.24050903320312","140.50125122070312","125.03076171875","140.05789184570312","143.00660705566406","145.83859252929688","143.59263610839844","139.67880249023438","149.12376403808594","138.52198791503906","142.72853088378906","145.58711242675781","141.87875366210938","140.91410827636719","152.10737609863281","146.12384033203125","144.36390686035156",NA,"130.11207580566406","103.18129730224609","86.1248779296875","76.165786743164062","349.98348999023438","87.079658508300781","114.39188385009766","102.30557250976562","119.84270477294922","98.068740844726562","113.50972747802734","138.52151489257812","139.76356506347656","192.90377807617188","136.00820922851562","120.94281005859375","120.746337890625","88.835884094238281","139.72856140136719","163.99021911621094","115.53087615966797","139.70875549316406"
"192","1","1985","125.32012939453125","116.60988616943359","106.90678405761719","123.93135833740234","116.90139770507812","92.774627685546875","97.2891845703125","134.63215637207031","96.389251708984375","118.56584167480469","134.86174011230469","105.13432312011719","115.45169830322266","108.205810546875","102.277099609375","124.30880737304688","136.00811767578125","108.91412353515625","120.89250946044922","121.71656799316406","120.12450408935547","124.82865142822266","123.72266387939453","133.5462646484375","128.80519104003906","128.27297973632812","123.67690277099609",NA,"131.84646606445312","137.17823791503906","135.40634155273438","131.6090087890625","131.36466979980469","133.89845275878906","125.8763427734375","127.33497619628906","144.06141662597656","142.53233337402344","125.81283569335938","142.08450317382812","145.26445007324219","147.97941589355469","145.58969116210938","141.65228271484375","151.6702880859375","140.31401062011719","144.4859619140625","147.75947570800781","143.72142028808594","142.6119384765625","154.30804443359375","147.9151611328125","146.33355712890625",NA,"129.68800354003906","103.51960754394531","82.84771728515625","76.832046508789062","373.95254516601562","95.051750183105469","114.74544525146484","102.65358734130859","118.85564422607422","97.405769348144531","115.15904998779297","137.57243347167969","140.68376159667969","188.82952880859375","131.36141967773438","120.99486541748047","121.12175750732422","89.138031005859375","139.8509521484375","163.39389038085938","115.41419219970703","142.14195251464844"
"193","2","1985","127.07855224609375","118.00991821289062","107.83285522460938","125.30891418457031","117.5697021484375","93.810203552246094","97.953643798828125","136.94308471679688","97.350883483886719","119.64280700683594","135.39064025878906","106.63489532470703","116.84424591064453","108.74445343017578","102.90132141113281","126.10441589355469","138.69482421875","109.55219268798828","122.53793334960938","123.85540008544922","122.31422424316406","127.21057891845703","125.05207824707031","135.61189270019531","129.07833862304688","130.78347778320312","126.18885040283203",NA,"134.46142578125","138.72711181640625","136.7816162109375","129.97023010253906","133.9039306640625","136.22906494140625","126.27349853515625","127.51763153076172","146.54499816894531","145.58131408691406","124.24596405029297","145.29847717285156","148.62771606445312","151.64537048339844","148.94230651855469","145.83799743652344","155.94123840332031","143.21900939941406","146.60496520996094","151.69279479980469","146.90940856933594","145.31248474121094","159.32693481445312","151.82334899902344","148.94853210449219",NA,"131.12863159179688","104.64902496337891","83.772071838378906","78.3162841796875","385.22842407226562","93.704109191894531","116.62294006347656","103.95603942871094","120.45199584960938","97.515174865722656","118.79689788818359","138.88446044921875","142.63052368164062","188.11878967285156","131.58242797851562","122.20540618896484","123.79938507080078","92.199409484863281","141.78121948242188","164.96931457519531","116.99371337890625","145.82928466796875"
"194","3","1985","128.05691528320312","118.69747924804688","108.11357879638672","125.32649230957031","118.10089111328125","94.158012390136719","98.237396240234375","137.5264892578125","97.718475341796875","120.30030059814453","135.9390869140625","107.23858642578125","117.48230743408203","109.23712158203125","103.61225891113281","127.22049713134766","139.43147277832031","110.09927368164062","124.15116119384766","125.16620635986328","123.96690368652344","129.12295532226562","125.67739868164062","136.01011657714844","129.753662109375","131.92601013183594","127.12709808349609",NA,"135.18609619140625","140.19012451171875","138.21014404296875","132.10600280761719","134.72665405273438","137.345458984375","127.77123260498047","128.67195129394531","148.15606689453125","146.68464660644531","125.86960601806641","146.32478332519531","149.78251647949219","152.91018676757812","149.98074340820312","146.64018249511719","156.93008422851562","144.22848510742188","148.0048828125","152.60746765136719","147.86576843261719","146.59971618652344","160.11740112304688","152.37950134277344","150.29055786132812",NA,"132.664306640625","105.30774688720703","83.572624206542969","79.056907653808594","385.00738525390625","94.150764465332031","118.13289642333984","105.69734191894531","122.22588348388672","98.382331848144531","119.14620208740234","140.51101684570312","144.64628601074219","190.82185363769531","132.10124206542969","123.53963470458984","124.73618316650391","94.264404296875","143.24418640136719","166.793212890625","118.99335479736328","145.33544921875"
"195","4","1985","125.51553344726562","117.09767913818359","107.00817108154297","124.25965118408203","117.15584564208984","93.256179809570312","97.408805847167969","132.79623413085938","96.484695434570312","118.49303436279297","134.22425842285156","105.06112670898438","115.97179412841797","108.31062316894531","103.15685272216797","125.46808624267578","135.24150085449219","109.27980804443359","122.59581756591797","123.37136840820312","122.28338623046875","126.9288330078125","124.70054626464844","134.80361938476562","129.34037780761719","127.17483520507812","124.44424438476562",NA,"131.05581665039062","136.11927795410156","133.63594055175781","128.65324401855469","130.43318176269531","132.5074462890625","124.8699951171875","126.13872528076172","142.38009643554688","139.94168090820312","123.55178070068359","139.40647888183594","142.6329345703125","146.14830017089844","143.22489929199219","139.98463439941406","148.732421875","138.36134338378906","142.04850769042969","145.01771545410156","141.55557250976562","141.54344177246094","151.92945861816406","145.81843566894531","143.6143798828125",NA,"130.62657165527344","104.83681488037109","84.617324829101562","77.631309509277344","370.82147216796875","94.885856628417969","115.19267272949219","103.32888793945312","120.44929504394531","98.419830322265625","114.87164306640625","138.20584106445312","139.96566772460938","189.80723571777344","129.27235412597656","121.51124572753906","121.29292297363281","95.3875732421875","140.35395812988281","164.10127258300781","118.04830932617188","136.26553344726562"
"196","5","1985","126.36553955078125","117.68682861328125","107.43744659423828","124.64019012451172","118.10272979736328","93.705009460449219","97.622520446777344","133.43533325195312","96.966445922851562","119.18480682373047","134.68075561523438","105.85462188720703","116.59049987792969","109.01813507080078","103.50074005126953","126.16871643066406","136.32527160644531","109.83758544921875","123.37666320800781","123.98239135742188","123.01303863525391","127.77027130126953","125.4351806640625","135.27511596679688","129.97866821289062","127.71842956542969","125.11276245117188",NA,"131.88623046875","137.31309509277344","135.04100036621094","130.31001281738281","131.77340698242188","133.67701721191406","126.3712158203125","127.90132141113281","143.70219421386719","141.26821899414062","125.56644439697266","140.70948791503906","143.92947387695312","147.30874633789062","144.54106140136719","141.15879821777344","149.96319580078125","139.62635803222656","143.49734497070312","146.22476196289062","142.94224548339844","143.00653076171875","153.44407653808594","147.49092102050781","144.94198608398438",NA,"131.37301635742188","105.51197052001953","85.529769897460938","77.997871398925781","366.95614624023438","94.984397888183594","115.90896606445312","103.89997100830078","121.55286407470703","99.118324279785156","115.2581787109375","138.98609924316406","140.79277038574219","190.61399841308594","130.36746215820312","122.48654174804688","122.1246337890625","94.82830810546875","141.03720092773438","164.66342163085938","118.83036804199219","136.71713256835938"
"197","6","1985","125.63969421386719","117.35941314697266","107.41189575195312","124.76177215576172","117.85369873046875","93.651725769042969","97.774070739746094","133.09686279296875","96.600738525390625","118.80126953125","134.34219360351562","105.19024658203125","116.50782012939453","109.146240234375","103.52133941650391","125.66944122314453","135.72531127929688","109.70526123046875","122.71870422363281","123.40747833251953","122.31885528564453","126.91866302490234","125.50712585449219","134.97000122070312","129.79071044921875","126.68051147460938","124.25019073486328",NA,"131.24258422851562","136.44236755371094","134.00564575195312","129.65190124511719","130.45454406738281","132.56309509277344","125.28472900390625","126.95940399169922","142.65565490722656","139.96965026855469","124.57736206054688","139.33306884765625","142.78410339355469","146.00149536132812","143.330322265625","139.73170471191406","148.61822509765625","138.53709411621094","142.39787292480469","145.0513916015625","141.6953125","141.82659912109375","151.97348022460938","145.95193481445312","143.72087097167969",NA,"130.36428833007812","104.12729644775391","83.520355224609375","77.65185546875","361.44247436523438","93.543342590332031","115.08261871337891","103.24241638183594","120.94312286376953","98.774879455566406","113.80004119873047","138.05276489257812","139.96942138671875","189.29441833496094","128.95489501953125","121.99509429931641","121.17931365966797","94.463943481445312","139.90385437011719","163.55296325683594","117.92128753662109","135.27928161621094"
"198","7","1985","124.01181030273438","116.26171875","106.72600555419922","123.5328369140625","117.70543670654297","93.142387390136719","97.290306091308594","129.79612731933594","95.8905029296875","117.84620666503906","133.10543823242188","103.92073059082031","115.50949859619141","109.15400695800781","103.31330108642578","124.39765167236328","132.9237060546875","109.49196624755859","121.60462188720703","121.81901550292969","120.81716156005859","125.08990478515625","124.76686096191406","133.80744934082031","130.18754577636719","123.88856506347656","121.87211608886719",NA,"128.40071105957031","133.19822692871094","130.38374328613281","127.32944488525391","126.46729278564453","128.77561950683594","122.46262359619141","124.24614715576172","138.2489013671875","135.36361694335938","122.13662719726562","134.70785522460938","137.94143676757812","140.93597412109375","138.56024169921875","134.84678649902344","142.90827941894531","134.23194885253906","138.33454895019531","140.05221557617188","137.08213806152344","137.02471923828125","146.07388305664062","140.45692443847656","139.18995666503906",NA,"129.32502746582031","103.17855072021484","83.023704528808594","77.344230651855469","353.087890625","92.800140380859375","113.16146850585938","102.14926910400391","120.24478149414062","99.416847229003906","111.28221893310547","137.26547241210938","137.76411437988281","192.58834838867188","130.07037353515625","121.25114440917969","119.37691497802734","91.60400390625","138.26220703125","162.80805969238281","117.03537750244141","130.14839172363281"
